想你的夜(2012新版)
心花路放 电影原声带
平凡之路(电影《后会无期》主题曲)
我为歌狂第二季 第10期
Walk Together Live 2012台北小巨蛋演唱会
那些和我们打过招呼的爱情
握着未来的手∞点头
酒干倘卖无
Jane Z 2011 Live 我的模样演唱会
天旋地转
第10个王心凌
模特
海龟先生
金玉良缘 电视原声带
回到爱开始的地方 电影原声带
Baby别放手
上瘾
拾伍重唱集
After Leaving
rice &amp; shine
莫旭秋 秋水伊人演唱会
花一开就相爱
爱为她
瑶妹传情
温习
倾听 张靓颖
梦想星搭档 第七期
梦想星搭档 第3期
梦想星搭档 第1期
梦想星搭档 第五期
G.E.M.X.X.X. Live
我为歌狂 第10期
隋唐英雄 电视原声带
真实的模样
狮子山下演唱会
华纳 最靓声之选LPCD
单曲 - 点亮智慧人生
爱的承诺
非常幸运 电影原声带
爱你胜过爱我自己
太阳巡回演唱会Immortal Tour影音记录
第八期 巨星之夜
第六期 流行节奏之夜
2 her
Say The Words 我为你歌唱
第五期 民谣之夜
第一期 摇滚之夜
是否
全能星战 第4期 戏曲之夜
第二期 民歌之夜
辣妈正传 电视原声带
第三期 爵士之夜
无所不在
敏感者
恨不起
1/2的我
悄悄告诉你
春分 立秋 冬至
快乐男声2013 热血复活战
中国梦之声高温慰问演出
爸爸去哪儿 电视原声带
XOXO Repackage Hug Ver. (中文版)
Graceland 恩赐之地
组团十年庆功版
夸父音乐系列-被遗忘的时光
火火中国风
那是我们回不去的从前
天神传 电影原声带
戒了爱情戒了你
AMeiZING Live 世界巡回演唱会
梦想星搭档 第2期
谢 安琪
月亮惹的祸
快乐男声2013 总决赛
中国梦之声 第14期
非缘勿扰 电视原声带
汪苏泷 精选集
想要爱
爱我还是伤害我
歌者1: 男懂女人心
生无所求
爱要大声说出来
MY.游乐园
中国梦之声 第13期
下辈子还嫁给你 电视原声带
Boys Girls
好乐Day
伤心的人别听慢歌 (贯彻快乐)
花非花雾非雾 电视原声带
千万个借口
致我们终将逝去的青春 电影原声带
中国梦之声 第11期
中国梦之声 第12期
顾小雨≠顾晓宇
我为歌狂 总决赛
我为歌狂 第9期
Hip Hop经过
眼泪碰石头
那年那月
致纯静 新歌+精选
你把我灌醉 (Intoxicated)
Jazz Channel
原来是美男(台湾版) 电视原声带
三天三夜
唱首什么歌
治爱
我为歌狂 第8期
倔强
小时代 电影原声带
爱与罪
爱是最美的事情
小爸爸 电视原声带
我为歌狂 第三期
52赫兹
绿色玫瑰
我为歌狂 第四期
我为歌狂 第5期
陆贞传奇 电视原声带
林志炫:绝对收藏
ONE take公视音乐万万岁电视演唱会
我是海雅谷慕
曾经心痛
好的情人
新恋爱时代 原声大碟
爱情厨男
致我们终将逝去的青春
华丽的挑战 O.S.T
火塘旁的摩梭
坏习惯
我要去西藏
万江首张个人
Now I Am Here
